Date,Open,High,Low,Close ,Adj Close ,Volume
2024-11-26,314.2,314.5,311.54,311.82,311.3,7071500
2024-11-25,311.86,313.66,309.86,313.19,312.66,14189300
2024-11-22,307.97,311.59,307.9,309.92,309.4,5919200
2024-11-21,307.3,310.92,306.65,309.9,309.38,5757100
2024-11-20,311.86,312.29,306.22,307.39,306.87,6349900
2024-11-19,310,312.23,308.51,311.85,311.33,4885500
2024-11-18,309.48,312.41,308.7,312.16,311.64,4585600
2024-11-15,307.56,310.72,306.66,309.64,309.12,5106300
2024-11-14,309.3,311.29,307.83,308.25,307.73,4415800
2024-11-13,309.49,310.95,307.84,309.48,308.96,4046400
2024-11-12,0.59 Dividend,,,,,
2024-11-12,309.04,310.55,308.11,309.85,309.33,4616400
2024-11-11,310.09,312.44,309.3,310.92,309.81,4674100
2024-11-08,306.89,311.15,305.69,307.87,306.77,6240600
2024-11-07,307.5,307.63,304.42,305.8,304.71,6237300
2024-11-06,306.32,309,302.82,307.4,306.3,10320500
2024-11-05,291.71,294.78,291.58,293.29,292.24,3753700
2024-11-04,291.55,293.15,290.76,291.85,290.81,4281600
2024-11-01,288.49,292.67,287.19,290.74,289.7,5470700
2024-10-31,292.09,296.34,289.62,289.85,288.81,7950200
2024-10-30,292.34,295.78,288.33,290.16,289.12,9606800
2024-10-29,284.27,285.7,281.35,281.88,280.87,7534800
2024-10-28,282.04,284.64,281.53,284.19,283.17,4306200
2024-10-25,284,285.09,280.78,281.73,280.72,4464600
2024-10-24,282.39,283.62,281.73,283.22,282.21,4679900
2024-10-23,286.04,286.06,283.53,283.76,282.75,5249300
2024-10-22,285.05,286.53,283.53,284.79,283.77,5736500
2024-10-21,289.6,290.44,286.33,286.85,285.82,6313100
2024-10-18,289.92,291.04,288.08,290.62,289.58,5350900
2024-10-17,288.57,290.93,287.61,290.39,289.35,8815800
2024-10-16,278.62,287.6,278.35,287.52,286.49,9442700
2024-10-15,281,282.64,278.83,279.29,278.29,5807000
2024-10-14,279.08,281.37,277.99,280.68,279.68,3996600
2024-10-11,276.04,278.8,275.37,277.84,276.85,4746300
2024-10-10,276.78,277.67,275.35,277.47,276.48,4063900
2024-10-09,275,277.49,274.42,276.93,275.94,4115800
2024-10-08,274.71,276.1,274.01,274.96,273.98,4370900
2024-10-07,277.6,277.62,273.24,273.79,272.81,4339300
2024-10-04,277.35,278.44,275.1,277.93,276.94,4259300
2024-10-03,276.67,277.69,275.84,276.86,275.87,3036700
2024-10-02,276.57,277.64,275.37,277,276.01,4741600
